DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,0,3,0
03/01/2020,1,1,0
03/02/2020,0,9,0
03/03/2020,1,7,0
03/04/2020,0,6,0
03/05/2020,0,2,0
03/06/2020,2,5,0
03/07/2020,0,2,0
03/08/2020,4,2,0
03/09/2020,4,11,0
03/10/2020,8,8,0
03/11/2020,19,20,0
03/12/2020,29,17,0
03/13/2020,80,34,0
03/14/2020,86,26,0
03/15/2020,118,35,1
03/16/2020,303,65,3
03/17/2020,343,65,1
03/18/2020,483,101,1
03/19/2020,620,122,4
03/20/2020,718,109,13
03/21/2020,483,152,13
03/22/2020,491,161,12
03/23/2020,722,208,12
03/24/2020,927,254,14
03/25/2020,1054,290,30
03/26/2020,998,307,37
03/27/2020,1089,307,34
03/28/2020,761,300,61
03/29/2020,697,310,54
03/30/2020,1309,321,74
03/31/2020,1284,354,93
04/01/2020,1235,339,90
04/02/2020,1284,338,95
04/03/2020,1445,357,114
04/04/2020,1008,281,106
04/05/2020,817,316,122
04/06/2020,1512,381,109
04/07/2020,1462,331,114
04/08/2020,1288,368,106
04/09/2020,1278,301,108
04/10/2020,1230,304,118
04/11/2020,992,263,132
04/12/2020,758,234,106
04/13/2020,693,278,118
04/14/2020,1074,214,109
04/15/2020,1064,221,92
04/16/2020,932,197,84
04/17/2020,910,195,85
04/18/2020,548,154,57
04/19/2020,529,149,73
04/20/2020,974,164,76
04/21/2020,637,147,68
04/22/2020,922,127,67
04/23/2020,732,129,57
04/24/2020,579,114,61
04/25/2020,412,99,53
04/26/2020,194,86,52
04/27/2020,545,112,53
04/28/2020,668,108,55
04/29/2020,556,97,40
04/30/2020,477,70,44
05/01/2020,442,91,45
05/02/2020,259,61,49
05/03/2020,150,56,27
05/04/2020,347,68,35
05/05/2020,294,85,25
05/06/2020,281,69,25
05/07/2020,294,56,27
05/08/2020,252,70,21
05/09/2020,177,46,21
05/10/2020,75,34,13
05/11/2020,227,53,26
05/12/2020,353,51,20
05/13/2020,455,50,15
05/14/2020,255,46,9
05/15/2020,177,51,16
05/16/2020,109,29,27
05/17/2020,56,24,19
05/18/2020,185,35,11
05/19/2020,178,41,11
05/20/2020,274,37,15
05/21/2020,192,34,12
05/22/2020,249,45,11
05/23/2020,87,20,16
05/24/2020,96,23,12
05/25/2020,95,31,6
05/26/2020,268,38,9
05/27/2020,169,25,7
05/28/2020,108,23,9
05/29/2020,150,46,6
05/30/2020,69,25,12
05/31/2020,30,18,5
06/01/2020,149,28,3
06/02/2020,101,25,7
06/03/2020,92,19,10
06/04/2020,88,25,5
06/05/2020,63,19,7
06/06/2020,47,13,10
06/07/2020,41,17,6
06/08/2020,61,15,7
06/09/2020,44,12,1
06/10/2020,23,8,2
06/11/2020,1,0,0
