"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",45.4,"44.0 - 56.0 (639)"
02050,"""Bethel, (AK)""",43.2,"18.0 - 43.9 (637)"
02060,"""Bristol Bay, (AK)""",37.5,"18.0 - 43.9 (637)"
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",39.7,"18.0 - 43.9 (637)"
02090,"""Fairbanks North Star, (AK)""",41.6,"18.0 - 43.9 (637)"
02100,"""Haines, (AK)""",57,"56.1 - 64.6 (632)"
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",40.1,"18.0 - 43.9 (637)"
02122,"""Kenai Peninsula, (AK)""",-1,
02130,"""Ketchikan Gateway, (AK)""",34.8,"18.0 - 43.9 (637)"
02150,"""Kodiak Island, (AK)""",26.2,"18.0 - 43.9 (637)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",50.9,"44.0 - 56.0 (639)"
02180,"""Nome, (AK)""",30.8,"18.0 - 43.9 (637)"
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",33.1,"18.0 - 43.9 (637)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",46.2,"44.0 - 56.0 (639)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",30.6,"18.0 - 43.9 (637)"
06001,"""Alameda, (CA)""",45,"44.0 - 56.0 (639)"
06005,"""Amador, (CA)""",58.4,"56.1 - 64.6 (632)"
06007,"""Butte, (CA)""",65.2,"64.7 - 73.7 (630)"
06009,"""Calaveras, (CA)""",38.6,"18.0 - 43.9 (637)"
06011,"""Colusa, (CA)""",53.9,"44.0 - 56.0 (639)"
06013,"""Contra Costa, (CA)""",46.5,"44.0 - 56.0 (639)"
06015,"""Del Norte, (CA)""",58.6,"56.1 - 64.6 (632)"
06017,"""El Dorado, (CA)""",50,"44.0 - 56.0 (639)"
06021,"""Glenn, (CA)""",54.8,"44.0 - 56.0 (639)"
06023,"""Humboldt, (CA)""",51,"44.0 - 56.0 (639)"
06031,"""Kings, (CA)""",59.3,"56.1 - 64.6 (632)"
06033,"""Lake, (CA)""",45.9,"44.0 - 56.0 (639)"
06035,"""Lassen, (CA)""",42.4,"18.0 - 43.9 (637)"
06041,"""Marin, (CA)""",35.7,"18.0 - 43.9 (637)"
06043,"""Mariposa, (CA)""",50.2,"44.0 - 56.0 (639)"
06045,"""Mendocino, (CA)""",38.3,"18.0 - 43.9 (637)"
06047,"""Merced, (CA)""",62,"56.1 - 64.6 (632)"
06049,"""Modoc, (CA)""",34.9,"18.0 - 43.9 (637)"
06053,"""Monterey, (CA)""",44.1,"44.0 - 56.0 (639)"
06055,"""Napa, (CA)""",48.4,"44.0 - 56.0 (639)"
06057,"""Nevada, (CA)""",46.3,"44.0 - 56.0 (639)"
06061,"""Placer, (CA)""",43.4,"18.0 - 43.9 (637)"
06063,"""Plumas, (CA)""",39.3,"18.0 - 43.9 (637)"
06067,"""Sacramento, (CA)""",52.5,"44.0 - 56.0 (639)"
06069,"""San Benito, (CA)""",50.8,"44.0 - 56.0 (639)"
06075,"""San Francisco, (CA)""",41.2,"18.0 - 43.9 (637)"
06077,"""San Joaquin, (CA)""",52.7,"44.0 - 56.0 (639)"
06079,"""San Luis Obispo, (CA)""",35.1,"18.0 - 43.9 (637)"
06081,"""San Mateo, (CA)""",36.3,"18.0 - 43.9 (637)"
06083,"""Santa Barbara, (CA)""",37.9,"18.0 - 43.9 (637)"
06085,"""Santa Clara, (CA)""",39.8,"18.0 - 43.9 (637)"
06087,"""Santa Cruz, (CA)""",43.8,"18.0 - 43.9 (637)"
06089,"""Shasta, (CA)""",54.4,"44.0 - 56.0 (639)"
06091,"""Sierra, (CA)""",34.7,"18.0 - 43.9 (637)"
06093,"""Siskiyou, (CA)""",28.9,"18.0 - 43.9 (637)"
06095,"""Solano, (CA)""",43.9,"18.0 - 43.9 (637)"
06097,"""Sonoma, (CA)""",38.8,"18.0 - 43.9 (637)"
06099,"""Stanislaus, (CA)""",59.3,"56.1 - 64.6 (632)"
06101,"""Sutter, (CA)""",57.1,"56.1 - 64.6 (632)"
06103,"""Tehama, (CA)""",52.4,"44.0 - 56.0 (639)"
06105,"""Trinity, (CA)""",48.1,"44.0 - 56.0 (639)"
06109,"""Tuolumne, (CA)""",47.2,"44.0 - 56.0 (639)"
06113,"""Yolo, (CA)""",43.1,"18.0 - 43.9 (637)"
06115,"""Yuba, (CA)""",61.6,"56.1 - 64.6 (632)"
15001,"""Hawaii, (HI)""",42.6,"18.0 - 43.9 (637)"
15003,"""Honolulu, (HI)""",33.5,"18.0 - 43.9 (637)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",31.4,"18.0 - 43.9 (637)"
15009,"""Maui, (HI)""",31.1,"18.0 - 43.9 (637)"
41003,"""Benton, (OR)""",39.3,"18.0 - 43.9 (637)"
41005,"""Clackamas, (OR)""",46.6,"44.0 - 56.0 (639)"
41007,"""Clatsop, (OR)""",32.6,"18.0 - 43.9 (637)"
41009,"""Columbia, (OR)""",63.3,"56.1 - 64.6 (632)"
41011,"""Coos, (OR)""",64,"56.1 - 64.6 (632)"
41013,"""Crook, (OR)""",40.2,"18.0 - 43.9 (637)"
41015,"""Curry, (OR)""",42.2,"18.0 - 43.9 (637)"
41017,"""Deschutes, (OR)""",44.7,"44.0 - 56.0 (639)"
41019,"""Douglas, (OR)""",44,"44.0 - 56.0 (639)"
41021,"""Gilliam, (OR)""",37.4,"18.0 - 43.9 (637)"
41027,"""Hood River, (OR)""",23.3,"18.0 - 43.9 (637)"
41029,"""Jackson, (OR)""",50.5,"44.0 - 56.0 (639)"
41031,"""Jefferson, (OR)""",44,"44.0 - 56.0 (639)"
41033,"""Josephine, (OR)""",51,"44.0 - 56.0 (639)"
41035,"""Klamath, (OR)""",55.2,"44.0 - 56.0 (639)"
41037,"""Lake, (OR)""",32.4,"18.0 - 43.9 (637)"
41039,"""Lane, (OR)""",47,"44.0 - 56.0 (639)"
41041,"""Lincoln, (OR)""",31.5,"18.0 - 43.9 (637)"
41043,"""Linn, (OR)""",47.8,"44.0 - 56.0 (639)"
41047,"""Marion, (OR)""",49.4,"44.0 - 56.0 (639)"
41051,"""Multnomah, (OR)""",48.3,"44.0 - 56.0 (639)"
41053,"""Polk, (OR)""",47.8,"44.0 - 56.0 (639)"
41055,"""Sherman, (OR)""",70.5,"64.7 - 73.7 (630)"
41057,"""Tillamook, (OR)""",34.3,"18.0 - 43.9 (637)"
41065,"""Wasco, (OR)""",51.9,"44.0 - 56.0 (639)"
41067,"""Washington, (OR)""",46.2,"44.0 - 56.0 (639)"
41069,"""Wheeler, (OR)""",58.7,"56.1 - 64.6 (632)"
41071,"""Yamhill, (OR)""",56.7,"56.1 - 64.6 (632)"
53007,"""Chelan, (WA)""",40.4,"18.0 - 43.9 (637)"
53009,"""Clallam, (WA)""",46.4,"44.0 - 56.0 (639)"
53011,"""Clark, (WA)""",60.4,"56.1 - 64.6 (632)"
53015,"""Cowlitz, (WA)""",63.7,"56.1 - 64.6 (632)"
53027,"""Grays Harbor, (WA)""",61.5,"56.1 - 64.6 (632)"
53029,"""Island, (WA)""",38.2,"18.0 - 43.9 (637)"
53031,"""Jefferson, (WA)""",32.5,"18.0 - 43.9 (637)"
53033,"""King, (WA)""",45.9,"44.0 - 56.0 (639)"
53035,"""Kitsap, (WA)""",49,"44.0 - 56.0 (639)"
53037,"""Kittitas, (WA)""",36.9,"18.0 - 43.9 (637)"
53039,"""Klickitat, (WA)""",37.3,"18.0 - 43.9 (637)"
53041,"""Lewis, (WA)""",61.1,"56.1 - 64.6 (632)"
53045,"""Mason, (WA)""",40.3,"18.0 - 43.9 (637)"
53047,"""Okanogan, (WA)""",33.1,"18.0 - 43.9 (637)"
53049,"""Pacific, (WA)""",37.2,"18.0 - 43.9 (637)"
53053,"""Pierce, (WA)""",55,"44.0 - 56.0 (639)"
53055,"""San Juan, (WA)""",34.2,"18.0 - 43.9 (637)"
53057,"""Skagit, (WA)""",51.5,"44.0 - 56.0 (639)"
53059,"""Skamania, (WA)""",46.7,"44.0 - 56.0 (639)"
53061,"""Snohomish, (WA)""",50.7,"44.0 - 56.0 (639)"
53067,"""Thurston, (WA)""",49.8,"44.0 - 56.0 (639)"
53069,"""Wahkiakum, (WA)""",68.6,"64.7 - 73.7 (630)"
53073,"""Whatcom, (WA)""",48.1,"44.0 - 56.0 (639)"
53077,"""Yakima, (WA)""",57.1,"56.1 - 64.6 (632)"
04001,"""Apache, (AZ)""",53.8,"44.0 - 56.0 (639)"
04003,"""Cochise, (AZ)""",52.4,"44.0 - 56.0 (639)"
04005,"""Coconino, (AZ)""",38.7,"18.0 - 43.9 (637)"
04007,"""Gila, (AZ)""",57.5,"56.1 - 64.6 (632)"
04009,"""Graham, (AZ)""",45.9,"44.0 - 56.0 (639)"
04011,"""Greenlee, (AZ)""",59.3,"56.1 - 64.6 (632)"
