DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,1,2,0
03/01/2020,0,0,0
03/02/2020,0,4,0
03/03/2020,0,2,0
03/04/2020,2,5,0
03/05/2020,0,6,0
03/06/2020,3,3,0
03/07/2020,1,4,0
03/08/2020,6,1,0
03/09/2020,25,12,0
03/10/2020,24,12,0
03/11/2020,61,21,0
03/12/2020,138,11,0
03/13/2020,182,27,0
03/14/2020,179,28,0
03/15/2020,209,31,2
03/16/2020,458,39,1
03/17/2020,566,57,0
03/18/2020,540,76,4
03/19/2020,553,90,4
03/20/2020,656,109,11
03/21/2020,401,112,5
03/22/2020,321,127,8
03/23/2020,538,172,7
03/24/2020,626,185,17
03/25/2020,595,183,20
03/26/2020,626,212,33
03/27/2020,658,202,41
03/28/2020,386,204,28
03/29/2020,406,159,35
03/30/2020,825,262,35
03/31/2020,641,223,43
04/01/2020,589,174,60
04/02/2020,657,227,63
04/03/2020,686,258,52
04/04/2020,390,198,63
04/05/2020,358,183,86
04/06/2020,719,259,69
04/07/2020,607,195,90
04/08/2020,557,175,65
04/09/2020,567,198,64
04/10/2020,504,192,68
04/11/2020,314,131,59
04/12/2020,254,142,63
04/13/2020,393,188,72
04/14/2020,444,159,59
04/15/2020,434,143,55
04/16/2020,359,108,58
04/17/2020,333,124,42
04/18/2020,188,88,56
04/19/2020,178,85,48
04/20/2020,382,93,50
04/21/2020,374,99,47
04/22/2020,388,107,38
04/23/2020,402,67,47
04/24/2020,414,93,50
04/25/2020,149,51,42
04/26/2020,99,53,33
04/27/2020,302,72,29
04/28/2020,323,70,36
04/29/2020,286,50,33
04/30/2020,219,42,34
05/01/2020,244,48,24
05/02/2020,139,29,23
05/03/2020,104,42,35
05/04/2020,214,46,18
05/05/2020,243,34,18
05/06/2020,166,33,17
05/07/2020,119,31,22
05/08/2020,100,38,13
05/09/2020,75,24,16
05/10/2020,95,22,19
05/11/2020,190,35,13
05/12/2020,164,31,14
05/13/2020,155,39,8
05/14/2020,151,29,16
05/15/2020,136,39,12
05/16/2020,57,16,9
05/17/2020,50,18,10
05/18/2020,133,25,10
05/19/2020,168,37,10
05/20/2020,164,21,12
05/21/2020,146,24,5
05/22/2020,155,34,5
05/23/2020,46,20,7
05/24/2020,70,21,6
05/25/2020,71,24,12
05/26/2020,124,24,7
05/27/2020,106,26,9
05/28/2020,93,27,3
05/29/2020,74,28,5
05/30/2020,39,11,11
05/31/2020,24,13,5
06/01/2020,79,22,4
06/02/2020,68,23,9
06/03/2020,70,23,7
06/04/2020,62,15,7
06/05/2020,47,8,6
06/06/2020,27,7,3
06/07/2020,19,6,3
06/08/2020,54,7,1
06/09/2020,39,0,4
06/10/2020,16,1,0
06/11/2020,1,0,0
