DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,0,2,0
03/01/2020,0,2,0
03/02/2020,0,5,0
03/03/2020,1,5,0
03/04/2020,2,3,0
03/05/2020,0,6,0
03/06/2020,1,7,0
03/07/2020,3,3,0
03/08/2020,5,5,0
03/09/2020,10,8,0
03/10/2020,24,23,0
03/11/2020,40,30,1
03/12/2020,79,28,0
03/13/2020,165,48,0
03/14/2020,194,57,1
03/15/2020,230,64,1
03/16/2020,530,106,4
03/17/2020,650,108,3
03/18/2020,830,152,9
03/19/2020,1065,160,6
03/20/2020,1184,223,9
03/21/2020,945,223,13
03/22/2020,695,224,14
03/23/2020,1190,335,28
03/24/2020,1390,356,34
03/25/2020,1570,401,30
03/26/2020,1640,427,56
03/27/2020,1571,414,56
03/28/2020,1201,439,89
03/29/2020,1075,451,92
03/30/2020,1839,538,95
03/31/2020,1791,556,93
04/01/2020,1764,515,136
04/02/2020,1807,558,133
04/03/2020,1750,516,154
04/04/2020,1197,464,148
04/05/2020,1132,385,176
04/06/2020,1910,527,198
04/07/2020,1939,518,180
04/08/2020,1840,510,172
04/09/2020,1547,452,154
04/10/2020,1316,443,145
04/11/2020,976,352,155
04/12/2020,914,305,160
04/13/2020,970,350,177
04/14/2020,1295,380,160
04/15/2020,1174,303,139
04/16/2020,1139,282,120
04/17/2020,1096,284,109
04/18/2020,703,210,114
04/19/2020,868,186,119
04/20/2020,1219,222,113
04/21/2020,932,209,87
04/22/2020,1109,176,75
04/23/2020,788,152,86
04/24/2020,774,164,81
04/25/2020,540,116,64
04/26/2020,333,121,78
04/27/2020,720,120,80
04/28/2020,890,119,62
04/29/2020,693,116,72
04/30/2020,591,111,56
05/01/2020,620,105,72
05/02/2020,334,88,55
05/03/2020,247,75,44
05/04/2020,433,80,48
05/05/2020,460,63,39
05/06/2020,444,65,52
05/07/2020,356,61,34
05/08/2020,342,51,41
05/09/2020,256,41,30
05/10/2020,86,39,27
05/11/2020,378,69,23
05/12/2020,314,50,15
05/13/2020,304,48,22
05/14/2020,331,61,20
05/15/2020,265,64,25
05/16/2020,135,58,17
05/17/2020,106,36,24
05/18/2020,274,47,15
05/19/2020,288,48,11
05/20/2020,238,40,21
05/21/2020,305,38,8
05/22/2020,223,51,27
05/23/2020,129,44,12
05/24/2020,118,27,11
05/25/2020,106,44,9
05/26/2020,260,42,8
05/27/2020,162,53,16
05/28/2020,163,32,7
05/29/2020,206,44,14
05/30/2020,98,24,17
05/31/2020,69,30,14
06/01/2020,141,36,13
06/02/2020,155,35,13
06/03/2020,126,26,5
06/04/2020,121,11,9
06/05/2020,89,15,5
06/06/2020,77,10,7
06/07/2020,47,6,10
06/08/2020,90,10,12
06/09/2020,63,7,3
06/10/2020,29,1,3
06/11/2020,4,0,1
