DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,0,0,0
03/01/2020,0,1,0
03/02/2020,0,0,0
03/03/2020,0,1,0
03/04/2020,0,2,0
03/05/2020,0,1,0
03/06/2020,1,2,0
03/07/2020,1,0,0
03/08/2020,1,0,0
03/09/2020,3,3,0
03/10/2020,2,5,0
03/11/2020,3,3,0
03/12/2020,13,5,0
03/13/2020,26,3,0
03/14/2020,22,8,0
03/15/2020,46,16,1
03/16/2020,91,17,0
03/17/2020,108,21,0
03/18/2020,150,23,0
03/19/2020,258,32,4
03/20/2020,309,30,3
03/21/2020,248,34,1
03/22/2020,316,32,6
03/23/2020,208,47,8
03/24/2020,349,48,6
03/25/2020,394,49,4
03/26/2020,403,47,10
03/27/2020,372,57,7
03/28/2020,266,53,13
03/29/2020,230,57,17
03/30/2020,397,68,10
03/31/2020,233,68,21
04/01/2020,263,72,16
04/02/2020,370,79,30
04/03/2020,343,64,29
04/04/2020,346,51,20
04/05/2020,323,65,22
04/06/2020,730,81,24
04/07/2020,629,70,28
04/08/2020,559,56,34
04/09/2020,297,57,25
04/10/2020,300,52,19
04/11/2020,311,48,27
04/12/2020,252,44,26
04/13/2020,185,56,25
04/14/2020,290,52,24
04/15/2020,317,34,24
04/16/2020,209,38,14
04/17/2020,280,38,15
04/18/2020,153,25,19
04/19/2020,134,30,19
04/20/2020,224,28,16
04/21/2020,216,27,11
04/22/2020,173,20,14
04/23/2020,128,19,13
04/24/2020,143,34,13
04/25/2020,88,26,9
04/26/2020,46,23,7
04/27/2020,107,20,9
04/28/2020,129,19,8
04/29/2020,124,19,14
04/30/2020,130,18,11
05/01/2020,77,12,8
05/02/2020,60,17,12
05/03/2020,35,14,15
05/04/2020,90,15,8
05/05/2020,78,12,12
05/06/2020,60,6,8
05/07/2020,60,7,3
05/08/2020,42,9,5
05/09/2020,32,6,3
05/10/2020,14,5,8
05/11/2020,27,3,3
05/12/2020,53,9,6
05/13/2020,48,9,6
05/14/2020,41,12,6
05/15/2020,33,7,6
05/16/2020,25,8,2
05/17/2020,10,4,2
05/18/2020,38,4,2
05/19/2020,42,8,5
05/20/2020,56,6,7
05/21/2020,66,10,3
05/22/2020,28,7,5
05/23/2020,35,6,2
05/24/2020,14,4,5
05/25/2020,15,5,3
05/26/2020,50,3,1
05/27/2020,43,4,2
05/28/2020,23,7,1
05/29/2020,26,9,2
05/30/2020,15,3,0
05/31/2020,11,2,2
06/01/2020,40,2,3
06/02/2020,30,4,1
06/03/2020,31,4,3
06/04/2020,19,1,2
06/05/2020,7,1,1
06/06/2020,7,0,0
06/07/2020,4,0,1
06/08/2020,15,1,0
06/09/2020,9,0,0
06/10/2020,4,0,0
06/11/2020,0,0,0
